Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018-06-12
GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed / Angel Funding,138995.0,2018-01-11
Veritas Finance,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK's Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018-03-11
Meesho,E-commerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018-06-11
Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed Investors,Series A,500000.0,2018-08-11
A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0,2018-08-11
Blackbuck,FoodTech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,2018-12-11
Milkbasket,Food,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,1300000.0,2018-12-11
DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,2018-11-13
CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed / Angel Funding,500000.0,2018-11-14
Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0,2018-11-19
HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,2018-11-20
Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0,2018-11-21
Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,2018-11-22
Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,20770463.751474757,2018-11-22
Signzy,FinTech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018-11-23
Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank's DeepCore.",Series A,29500000.0,2018-11-24
InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018-11-25
Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018-11-25
Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed / Angel Funding,20770463.751474757,2018-01-10
Origo Commodities India,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed / Angel Funding,11000000.0,2018-02-10
Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018-04-10
Droom,Automotive,New and Used Cars Platform,Gurugram,ZigExN,Series E,3000000.0,2018-05-10
Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,4000000.0,2018-11-10
Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,2018-12-10
LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0,2018-12-10
NetMeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018-01-09
Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners' global fund.,Private Equity,225000000.0,2018-03-09
Daily hunt,Consumer Internet,News and ebooks Mobile App xc2 xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0,2018-03-09
3HCare,Healthcare,Healthcare Service Provider,Delhi,Unknown,Seed / Angel Funding,1000000.0,2018-04-09
HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,20770463.751474757,2018-04-09
Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,2018-05-09
Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,1500000.0,2018-05-09
Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018-06-09
Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,2018-10-09
AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, rstead, and Tenaska",Private Equity,32000000.0,2018-11-09
PharmEasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018-11-09
Upwards,FinTech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital, Quotient, Mayfield & Others",Private Equity,5000000.0,2018-11-09
Kissht,FinTech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.",Private Equity,30000000.0,2018-12-09
Dishq,FoodTech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed / Angel Funding,400000.0,2018-01-08
HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed / Angel Funding,20770463.751474757,2018-01-08
Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018-02-08
ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0,2018-03-08
My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Unknown,Seed / Angel Funding,1000000.0,2018-07-08
ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,2018-07-08
MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0,2018-07-08
Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed / Angel Funding,4000000.0,2018-08-08
Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018-08-08
PhonePe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0,2018-08-08
Quizizz,EdTech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed / Angel Funding,3000000.0,2018-09-08
Happy EMI,FinTech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed / Angel Funding,1000000.0,2018-09-08
Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed / Angel Funding,4000000.0,2018-08-13
Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018-08-13
Enakshi,Consumer Internet,AI Based Solutions Platform,Ahmedabad,Unknown,Seed / Angel Funding,114811.0,2018-08-16
EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018-08-17
Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Unknown,Seed / Angel Funding,1000000.0,2018-08-20
RAW Pressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0,2018-08-20
Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused xc2 xa0Platform,Bengaluru,CDC Group plc,Private Equity,6000000.0,2018-08-22
Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018-08-22
ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi, PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018-08-26
Shubh Loans,FinTech,xc2 xa0Customer Sourcing Platform xc2 xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018-08-26
MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018-08-27
Narvar,Information Technology,Post-Purchase Customer Engagement Platform xc2 xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018-08-28
True North,Finance,Private Equity Firm,Mumbai,Unknown,Private Equity,600000000.0,2018-08-30
Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed / Angel Funding,20770463.751474757,2018-01-07
Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed / Angel Funding,1000000.0,2018-02-07
Anchanto,Information Technology,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,2018-04-07
LoanTap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0,2018-05-07
PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,2018-06-07
Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed / Angel Funding,440000.0,2018-09-07
Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed / Angel Funding,1100000.0,2018-09-07
Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed / Angel Funding,437000.0,2018-10-07
iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed / Angel Funding,20770463.751474757,2018-10-07
Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0,2018-10-07
Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,2018-10-07
Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,2018-11-07
19th Mile,Information Technology,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed / Angel Funding,180000.0,2018-12-07
5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed / Angel Funding,500000.0,2018-12-07
MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed / Angel Funding,175000.0,2018-07-13
OfBusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0,2018-07-17
Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0,2018-07-17
The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed / Angel Funding,1500000.0,2018-07-18
Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0,2018-07-19
HousingMan,Consumer Internet,Property Discovery Platform,Bengaluru,Unknown,Seed / Angel Funding,1500000.0,2018-07-20
PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18000000.0,2018-07-21
Yulu Bikes,Technology,Bicycle-Sharing Platform,Bengaluru,Unknown,Seed / Angel Funding,20770463.751474757,2018-07-23
Vtion,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed / Angel Funding,280000.0,2018-07-23
Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed / Angel Funding,436000.0,2018-07-23
Kidovators,EdTech,Skill Learning Platform,Bengaluru,Gray Matters,Seed / Angel Funding,180000.0,2018-07-24
Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,45000000.0,2018-07-24
Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0,2018-07-25
Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"BeeNext, WEH Ventures and Sprout Ventures",Seed / Angel Funding,1250000.0,2018-07-25
Iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed / Angel Funding,2500000.0,2018-07-25
Entropik,Information Technology,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed / Angel Funding,1100000.0,2018-07-26
Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,20770463.751474757,2018-07-26
TheCapitalNet,FinTech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0,2018-07-26
Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,2018-07-30
Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0,2018-07-30
Five Star Group,FinTech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,2018-07-31
Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed / Angel Funding,5000000.0,2018-07-31
CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,2018-01-06
Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed / Angel Funding,125000.0,2018-04-06
Kashmir Box,E-commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed / Angel Funding,20770463.751474757,2018-04-06
Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed / Angel Funding,20770463.751474757,2018-05-06
Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Seed / Angel Funding,1000000.0,2018-05-06
Annapurna Finance,Finance,Non-Banking Financial Company,Bhubaneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.0,2018-07-06
Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000.0,2018-07-06
AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000.0,2018-10-06
Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Network,Seed / Angel Funding,20770463.751474757,2018-11-06
Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000.0,2018-12-06
Eshakti,E-commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000.0,2018-12-06
Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed / Angel Funding,3000000.0,2018-12-06
NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed / Angel Funding,300000.0,2018-06-13
Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed / Angel Funding,450000.0,2018-06-13
Whats Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Rannvijay Singha,Seed / Angel Funding,20770463.751474757,2018-06-13
HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed / Angel Funding,3450000.0,2018-06-14
Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,4800000.0,2018-06-14
Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.0,2018-06-18
Elucidata,Information Technology,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed / Angel Funding,1700000.0,2018-06-18
Chrysalis,EdTech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed / Angel Funding,20770463.751474757,2018-06-19
RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed / Angel Funding,1100000.0,2018-06-19
Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000.0,2018-06-20
WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000.0,2018-06-22
PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.0,2018-06-25
HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,4000000.0,2018-06-25
Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed / Angel Funding,1000000.0,2018-06-25
Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,8950000.0,2018-06-26
SigTuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000.0,2018-06-26
WoW Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Investors,Private Equity,4500000.0,2018-06-27
Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed / Angel Funding,1100000.0,2018-06-28
Edureka,EdTech,Online Education Platform,Bengaluru,Leo Capital,Seed / Angel Funding,2000000.0,2018-06-28
Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkata,Shiva Gunapu & Others,Seed / Angel Funding,20770463.751474757,2018-06-29
OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000.0,2018-02-05
Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.0,2018-02-05
Disprz,Information Technology,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000.0,2018-03-05
